SIG_CD,개방자치단체코드,시군구명,count,open,covid_before_close
11110,3000000,종로구,74,520,27
11140,3010000,중구,66,582,16
11170,3020000,용산구,68,313,18
11200,3030000,성동구,18,84,8
11215,3040000,광진구,23,101,9
11230,3050000,동대문구,33,176,18
11260,3060000,중랑구,10,106,5
11290,3070000,성북구,22,100,14
11305,3080000,강북구,30,149,9
11320,3090000,도봉구,9,32,2
11350,3100000,노원구,5,35,5
11380,3110000,은평구,19,113,11
11410,3120000,서대문구,22,146,13
11440,3130000,마포구,259,493,56
11470,3140000,양천구,4,26,7
11500,3150000,강서구,39,158,25
11530,3160000,구로구,14,142,8
11545,3170000,금천구,13,88,2
11560,3180000,영등포구,27,273,25
11590,3190000,동작구,11,46,8
11620,3200000,관악구,37,146,22
11650,3210000,서초구,34,78,10
11680,3220000,강남구,58,271,29
11710,3230000,송파구,27,139,14
11740,3240000,강동구,21,86,9
26110,3250000,중구,24,164,11
26140,3260000,서구,15,106,4
26170,3270000,동구,8,195,12
26200,3280000,영도구,6,94,1
26230,3290000,부산진구,20,253,15
26260,3300000,동래구,24,163,21
26290,3310000,남구,9,68,5
26320,3320000,북구,11,104,5
26350,3330000,해운대구,71,418,29
26380,3340000,사하구,4,98,5
26410,3350000,금정구,6,87,11
26440,3360000,강서구,1,42,2
26470,3370000,연제구,9,81,6
26500,3380000,수영구,18,214,7
26530,3390000,사상구,18,190,12
26710,3400000,기장군,3,90,1
27110,3410000,중구,35,114,7
27140,3420000,동구,24,203,27
27170,3430000,서구,11,117,7
27200,3440000,남구,6,57,1
27230,3450000,북구,17,94,6
27260,3460000,수성구,15,64,9
27290,3470000,달서구,31,117,0
27710,3480000,달성군,6,69,0
28110,3490000,중구,34,446,17
28140,3500000,동구,3,50,5
28177,3510500,미추홀구,23,210,10
28185,3520000,연수구,2,79,3
28200,3530000,남동구,14,109,7
28237,3540000,부평구,23,191,10
28245,3550000,계양구,6,78,4
28260,3560000,서구,2,105,2
28710,3570000,강화군,18,201,4
28720,3580000,옹진군,11,191,3
29110,3590000,동구,23,146,15
29140,3600000,서구,15,165,12
29155,3610000,남구,8,44,17
29170,3620000,북구,17,218,22
29200,3630000,광산구,4,137,3
30110,3640000,동구,23,177,12
30140,3650000,중구,79,235,18
30170,3660000,서구,9,74,2
30200,3670000,유성구,18,128,10
30230,3680000,대덕구,1,92,4
31110,3690000,중구,26,119,7
31140,3700000,남구,31,333,8
31170,3710000,동구,6,77,4
31200,3720000,북구,6,39,4
31710,3730000,울주군,13,180,5
36110,5690000,,4,91,4
41110,3740000,수원시,71,515,29
41130,3780000,성남시,162,417,19
41150,3820000,의정부시,19,169,13
41170,3830000,안양시,45,181,4
41190,3860000,부천시,48,199,14
41210,3900000,광명시,12,64,1
41220,3910000,평택시,8,249,14
41250,3920000,동두천,7,73,3
41270,3930000,안산시,7,186,5
41280,3940000,고양시,20,183,14
41290,3970000,과천시,2,1,0
41310,3980000,구리시,8,73,4
41360,3990000,남양주,5,136,8
41370,4000000,오산시,0,102,0
41390,4010000,시흥시,18,112,1
41410,4020000,군포시,12,58,3
41430,4030000,의왕시,0,16,0
41450,4040000,하남시,4,37,0
41460,4050000,용인시,11,231,11
41480,4060000,파주시,15,202,5
41500,4070000,이천시,1,127,3
41550,4080000,안성시,3,130,2
41570,4090000,김포시,12,96,2
41590,4140000,연천군,1,108,3
41610,4160000,가평군,64,668,20
41630,4170000,양평군,20,264,9
41650,5530000,화성시,11,292,15
41670,5540000,광주시,5,59,0
41800,5590000,양주시,7,158,27
41820,5600000,포천시,32,300,5
41830,5700000,여주시,0,119,1
42110,4180000,춘천시,18,306,9
42130,4190000,원주시,18,276,10
42150,4200000,강릉시,35,545,30
42170,4210000,동해시,11,156,8
42190,4220000,태백시,4,76,1
42210,4230000,속초시,14,269,27
42230,4240000,삼척시,8,119,3
42720,4250000,홍천군,16,286,4
42730,4260000,횡성군,2,111,3
42750,4270000,영월군,12,169,1
42760,4280000,평창군,16,222,6
42770,4290000,정선군,11,190,4
42780,4300000,철원군,3,87,1
42790,4310000,화천군,2,81,3
42800,4320000,양구군,0,68,0
42810,4330000,인제군,8,132,0
42820,4340000,고성군,23,174,20
42830,4350000,양양군,57,366,25
43130,4390000,충주시,8,212,6
43150,4400000,제천시,9,223,17
43720,4420000,보은군,7,88,1
43730,4430000,옥천군,0,40,1
43740,4440000,영동군,1,40,0
43750,4450000,진천군,0,75,2
43760,4460000,괴산군,3,69,1
43770,4470000,음성군,3,84,3
43800,4480000,단양군,5,73,2
43745,5570000,증평군,2,34,0
43110,5710000,청주시,26,405,10
44130,4490000,천안시,17,340,12
44150,4500000,공주시,7,206,10
44180,4510000,보령시,26,426,4
44200,4520000,아산시,13,231,3
44210,4530000,서산시,8,186,4
44230,4540000,논산시,8,152,4
44710,4550000,금산군,2,70,5
44760,4570000,부여군,1,70,3
44770,4580000,서천군,8,80,4
44790,4590000,청양군,4,35,2
44800,4600000,홍성군,6,82,3
44810,4610000,예산군,8,133,10
44825,4620000,태안군,21,593,31
44250,5580000,계룡시,2,21,1
44270,5680000,당진시,3,128,7
45110,4640000,전주시,35,735,25
45130,4670000,군산시,11,254,6
45140,4680000,익산시,7,211,5
45180,4690000,정읍시,3,114,2
45190,4700000,남원시,2,143,7
45210,4710000,김제시,4,77,3
45710,4720000,완주군,2,99,3
45720,4730000,진안군,2,23,0
45730,4740000,무주군,9,214,6
45740,4750000,장수군,1,17,0
45750,4760000,임실군,1,28,0
45770,4770000,순창군,1,38,2
45790,4780000,고창군,6,74,3
45800,4790000,부안군,4,166,5
46110,4800000,목포시,13,367,21
46130,4810000,여수시,37,799,18
46150,4820000,순천시,21,401,14
46170,4830000,나주시,6,102,3
46230,4840000,광양시,6,113,2
46710,4850000,담양군,3,89,0
46720,4860000,곡성군,10,41,0
46730,4870000,구례군,7,89,6
46770,4880000,고흥군,6,88,1
46780,4890000,보성군,5,106,3
46790,4900000,화순군,8,59,2
46800,4910000,장흥군,2,52,6
46810,4920000,강진군,2,76,0
46820,4930000,해남군,7,116,4
46830,4940000,영암군,8,102,1
46840,4950000,무안군,5,81,4
46860,4960000,함평군,4,29,2
46870,4970000,영광군,6,59,2
46880,4980000,장성군,1,54,12
46890,4990000,완도군,8,141,15
46900,5000000,진도군,4,42,0
46910,5010000,신안군,2,84,7
47110,5020000,포항시,18,468,96
47130,5050000,경주시,38,652,19
47150,5060000,김천시,5,176,4
47170,5070000,안동시,13,335,11
47190,5080000,구미시,15,314,10
47210,5090000,영주시,6,149,5
47230,5100000,영천시,16,107,7
47250,5110000,상주시,3,80,7
47280,5120000,문경시,4,136,6
47290,5130000,경산시,3,94,5
47720,5140000,군위군,2,33,2
47730,5150000,의성군,7,40,1
47750,5160000,청송군,3,67,2
47760,5170000,영양군,3,21,2
47770,5180000,영덕군,8,156,1
47820,5190000,청도군,2,105,1
47830,5200000,고령군,1,53,0
47840,5210000,성주군,3,62,0
47850,5220000,칠곡군,8,128,3
47900,5230000,예천군,2,59,3
47920,5240000,봉화군,3,52,0
47930,5250000,울진군,10,148,2
47940,5260000,울릉군,1,136,1
48170,5310000,진주시,22,294,6
48220,5330000,통영시,22,348,14
48240,5340000,사천시,12,182,3
48250,5350000,김해시,11,281,5
48270,5360000,밀양시,11,151,10
48310,5370000,거제시,20,349,9
48330,5380000,양산시,9,164,2
48720,5390000,의령군,0,32,1
48730,5400000,함안군,3,47,0
48740,5410000,창녕군,4,85,6
48820,5420000,고성군,14,116,2
48840,5430000,남해군,5,185,5
48850,5440000,하동군,9,97,2
48860,5450000,산청군,6,102,1
48870,5460000,함양군,3,79,1
48880,5470000,거창군,2,102,1
48890,5480000,합천군,3,102,6
48120,5670000,창원시,27,851,29
50110,6510000,제주시,63,1077,33
50130,6520000,서귀포시,41,793,19
